 1	    0.00000	0.00000e+00
 2	    0.10000	9.98334e-02
 3	    0.20000	1.98669e-01
 4	    0.30000	2.95520e-01
 5	    0.40000	3.89418e-01
 6	    0.50000	4.79426e-01
 7	    0.60000	5.64642e-01
 8	    0.70000	6.44218e-01
 9	    0.80000	7.17356e-01
10	    0.90000	7.83327e-01
11	    1.00000	8.41471e-01
12	    1.10000	8.91207e-01
13	    1.20000	9.32039e-01
14	    1.30000	9.63558e-01
15	    1.40000	9.85450e-01
16	    1.50000	9.97495e-01
17	    1.60000	9.99574e-01
18	    1.70000	9.91665e-01
19	    1.80000	9.73848e-01
20	    1.90000	9.46300e-01
21	    2.00000	9.09297e-01
22	    2.10000	8.63209e-01
23	    2.20000	8.08496e-01
24	    2.30000	7.45705e-01
25	    2.40000	6.75463e-01
26	    2.50000	5.98472e-01
27	    2.60000	5.15501e-01
28	    2.70000	4.27380e-01
29	    2.80000	3.34988e-01
30	    2.90000	2.39249e-01
31	    3.00000	1.41120e-01
32	    3.10000	4.15807e-02
33	    3.20000	-5.83741e-02
34	    3.30000	-1.57746e-01
35	    3.40000	-2.55541e-01
36	    3.50000	-3.50783e-01
37	    3.60000	-4.42520e-01
38	    3.70000	-5.29836e-01
39	    3.80000	-6.11858e-01
40	    3.90000	-6.87766e-01
41	    4.00000	-7.56802e-01
42	    4.10000	-8.18277e-01
43	    4.20000	-8.71576e-01
44	    4.30000	-9.16166e-01
45	    4.40000	-9.51602e-01
46	    4.50000	-9.77530e-01
47	    4.60000	-9.93691e-01
48	    4.70000	-9.99923e-01
49	    4.80000	-9.96165e-01
50	    4.90000	-9.82453e-01
51	    5.00000	-9.58924e-01
52	    5.10000	-9.25815e-01
53	    5.20000	-8.83455e-01
54	    5.30000	-8.32267e-01
55	    5.40000	-7.72764e-01
56	    5.50000	-7.05540e-01
57	    5.60000	-6.31267e-01
58	    5.70000	-5.50686e-01
59	    5.80000	-4.64602e-01
60	    5.90000	-3.73877e-01
61	    6.00000	-2.79415e-01
62	    6.10000	-1.82163e-01
63	    6.20000	-8.30894e-02
